producto,variante,componente,insumo,cantidad,unidad,rendimiento_lote
Medialuna,Tradicional,Masa,sal,1.1267938965330604,g,71.0
Medialuna,Tradicional,Masa,mantequilla,18.68989876304837,g,71.0
Medialuna,Tradicional,Almibar,azucar,8.333,g,12.0
Medialuna,DulceDeLeche,Masa,harina_0000,67.606,g,71.0
Medialuna,DulceDeLeche,Masa,leche_polvo,4.507,g,71.0
Medialuna,DulceDeLeche,Masa,azucar,5.887,g,71.0
Medialuna,DulceDeLeche,Masa,glucosa,0.5634,g,71.0
Medialuna,DulceDeLeche,Masa,sal,1.1268,g,71.0
Medialuna,DulceDeLeche,Masa,vainilla_tahiti,5.817,g,71.0
Medialuna,DulceDeLeche,Masa,mantequilla,18.69,g,71.0
Medialuna,DulceDeLeche,Almibar,azucar,8.333,g,12.0
Medialuna,DulceDeLeche,Relleno,dulce_de_leche,50.0,g,1.0
Medialuna,Membrillo,Masa,harina_0000,67.606,g,71.0
Medialuna,Membrillo,Masa,leche_polvo,4.507,g,71.0
Medialuna,Membrillo,Masa,azucar,5.887,g,71.0
Medialuna,Membrillo,Masa,glucosa,0.5634,g,71.0
Medialuna,Membrillo,Masa,sal,1.1268,g,71.0
Medialuna,Membrillo,Masa,vainilla_tahiti,5.817,g,71.0
Medialuna,Membrillo,Masa,mantequilla,18.69,g,71.0
Medialuna,Membrillo,Almibar,azucar,8.333,g,12.0
Medialuna,Membrillo,Relleno,membrillo,40.0,g,1.0
Medialuna,Pastelera,Masa,harina_0000,67.606,g,71.0
Medialuna,Pastelera,Masa,leche_polvo,4.507,g,71.0
Medialuna,Pastelera,Masa,azucar,5.887,g,71.0
Medialuna,Pastelera,Masa,glucosa,0.5634,g,71.0
Medialuna,Pastelera,Masa,sal,1.1268,g,71.0
Medialuna,Pastelera,Masa,vainilla_tahiti,5.817,g,71.0
Medialuna,Pastelera,Masa,mantequilla,18.69,g,71.0
Medialuna,Pastelera,Almibar,azucar,8.333,g,12.0
Medialuna,Pastelera,Relleno,esencia_vainilla,0.001169,L,42.75
Medialuna,Pastelera,Relleno,huevo,0.09357,unidad,42.75
Medialuna,Pastelera,Relleno,azucar,7.018,g,42.75
Medialuna,Pastelera,Relleno,maicena,2.339,g,42.75
Medialuna,Pastelera,Relleno,harina_0000,0.4678,g,42.75
Medialuna,Pastelera,Relleno,leche_polvo,2.807,g,42.75
Medialuna,ManzanaCanela,Masa,harina_0000,67.606,g,71.0
Medialuna,ManzanaCanela,Masa,leche_polvo,4.507,g,71.0
Medialuna,ManzanaCanela,Masa,azucar,5.887,g,71.0
Medialuna,ManzanaCanela,Masa,glucosa,0.5634,g,71.0
Medialuna,ManzanaCanela,Masa,sal,1.1268,g,71.0
Medialuna,ManzanaCanela,Masa,vainilla_tahiti,5.817,g,71.0
Medialuna,ManzanaCanela,Masa,mantequilla,18.69,g,71.0
Medialuna,ManzanaCanela,Almibar,azucar,8.333,g,12.0
Medialuna,ManzanaCanela,Relleno,manzana_verde,38.27,g,23.52
Medialuna,ManzanaCanela,Relleno,mantequilla,2.551,g,23.52
Medialuna,ManzanaCanela,Relleno,azucar,7.227,g,23.52
Medialuna,ManzanaCanela,Relleno,canela_polvo,0.2976,g,23.52
Medialuna,ManzanaCanela,Relleno,maicena,0.3401,g,23.52
Medialuna,ManzanaCanela,Relleno,sal,0.0638,g,23.52
Medialuna,Chocotorta,Masa,harina_0000,67.606,g,71.0
Medialuna,Chocotorta,Masa,leche_polvo,4.507,g,71.0
Medialuna,Chocotorta,Masa,azucar,5.887,g,71.0
Medialuna,Chocotorta,Masa,glucosa,0.5634,g,71.0
Medialuna,Chocotorta,Masa,sal,1.1268,g,71.0
Medialuna,Chocotorta,Masa,vainilla_tahiti,5.817,g,71.0
Medialuna,Chocotorta,Masa,mantequilla,18.69,g,71.0
Medialuna,Chocotorta,Almibar,azucar,8.333,g,12.0
Medialuna,Chocotorta,Relleno,dulce_de_leche,20.0,g,1.0
Medialuna,Chocotorta,Relleno,queso_crema,20.0,g,1.0
Medialuna,Chocotorta,Cobertura,chocolate_baño,25.0,g,1.0
Medialuna,Chocotorta,Cobertura,galleta_chocolate_molida,1.0,porcion,1.0
Medialuna,NutellaChocBlanco,Masa,harina_0000,67.606,g,71.0
Medialuna,NutellaChocBlanco,Masa,leche_polvo,4.507,g,71.0
Medialuna,NutellaChocBlanco,Masa,azucar,5.887,g,71.0
Medialuna,NutellaChocBlanco,Masa,glucosa,0.5634,g,71.0
Medialuna,NutellaChocBlanco,Masa,sal,1.1268,g,71.0
Medialuna,NutellaChocBlanco,Masa,vainilla_tahiti,5.817,g,71.0
Medialuna,NutellaChocBlanco,Masa,mantequilla,18.69,g,71.0
Medialuna,NutellaChocBlanco,Almibar,azucar,8.333,g,12.0
Medialuna,NutellaChocBlanco,Relleno,nutella,40.0,g,1.0
Medialuna,NutellaChocBlanco,Relleno,chocolate_blanco,20.0,g,1.0
Medialuna,NutellaChocBlanco,Relleno,nueces,5.0,g,1.0
Medialuna,Pistacho,Masa,harina_0000,67.606,g,71.0
Medialuna,Pistacho,Masa,leche_polvo,4.507,g,71.0
Medialuna,Pistacho,Masa,azucar,5.887,g,71.0
Medialuna,Pistacho,Masa,glucosa,0.5634,g,71.0
Medialuna,Pistacho,Masa,sal,1.1268,g,71.0
Medialuna,Pistacho,Masa,vainilla_tahiti,5.817,g,71.0
Medialuna,Pistacho,Masa,mantequilla,18.69,g,71.0
Medialuna,Pistacho,Almibar,azucar,8.333,g,12.0
Medialuna,Pistacho,Relleno,crema_pistacho,40.0,g,1.0
Medialuna,Pistacho,Cobertura,pistacho_picado,3.0,g,1.0
Sandwich,JamonYQueso,Masa,harina_0000,390.0,g,20.0
Sandwich,JamonYQueso,Masa,sal,7.8,g,20.0
Sandwich,JamonYQueso,Relleno,queso_sandwich,50.0,g,1.0
Sandwich,JamonYQueso,Relleno,jamon,50.0,g,1.0
Sandwich,PolloYPalta,Masa,harina_0000,390.0,g,20.0
Sandwich,PolloYPalta,Masa,sal,7.8,g,20.0
Sandwich,PolloYPalta,Relleno,pollo_pechuga,100.0,g,1.0
Sandwich,PolloYPalta,Relleno,palta,200.0,g,1.0
Cafe,9oz,Otros,cafe_9oz_insumo,1.0,unidad,1.0
MasaQuebrada,StreuselRegular,Base,harina_0000,47.4,g,2.405
MasaQuebrada,StreuselRegular,Base,mantequilla,26.2,g,2.405
MasaQuebrada,StreuselRegular,Base,azucar,26.2,g,2.405
MasaQuebrada,StreuselRegular,Base,sal,0.208,g,2.405
MasaQuebrada,StreuselFrutosSecos,Base,harina_0000,24.95,g,2.405
MasaQuebrada,StreuselFrutosSecos,Base,nueces,24.95,g,2.405
MasaQuebrada,StreuselFrutosSecos,Base,mantequilla,24.95,g,2.405
MasaQuebrada,StreuselFrutosSecos,Base,azucar,24.95,g,2.405
MasaQuebrada,StreuselFrutosSecos,Base,sal,0.208,g,2.405
MasaQuebrada,Sablee,Base,mantequilla,18.37,g,4.79
MasaQuebrada,Sablee,Base,azucar_flor,14.82,g,4.79
MasaQuebrada,Sablee,Base,huevo,0.1705,unidad,4.79
MasaQuebrada,Sablee,Base,harina_0000,43.64,g,4.79
MasaQuebrada,Sablee,Base,harina_almendras,10.65,g,4.79
MasaQuebrada,Sablee,Base,sal,0.2088,g,4.79
MasaQuebrada,Sablee,Base,pasta_vainilla,0.002088,L,4.79
MasaQuebrada,SableeCacao,Base,mantequilla,18.76,g,4.69
MasaQuebrada,SableeCacao,Base,azucar_flor,15.13,g,4.69
MasaQuebrada,SableeCacao,Base,huevo,0.1742,unidad,4.69
MasaQuebrada,SableeCacao,Base,harina_0000,42.42,g,4.69
MasaQuebrada,SableeCacao,Base,harina_almendras,10.87,g,4.69
MasaQuebrada,SableeCacao,Base,sal,0.2132,g,4.69
MasaQuebrada,SableeCacao,Base,cacao_polvo,2.132,g,4.69
MasaQuebrada,SableeSalada,Base,mantequilla,21.0,g,5.0
MasaQuebrada,SableeSalada,Base,huevo,0.1933,unidad,5.0
MasaQuebrada,SableeSalada,Base,harina_0000,47.0,g,5.0
MasaQuebrada,SableeSalada,Base,harina_almendras,20.0,g,5.0
MasaQuebrada,SableeSalada,Base,sal,0.4,g,5.0
MasaQuebrada,MurbeNuez,Base,harina_0000,6.0,g,50.0
MasaQuebrada,MurbeNuez,Base,azucar_flor,2.0,g,50.0
MasaQuebrada,MurbeNuez,Base,mantequilla,4.0,g,50.0
MasaQuebrada,MurbeNuez,Base,nueces,1.4,g,50.0
MasaQuebrada,Sucree,Base,harina_0000,49.5,g,5.05
MasaQuebrada,Sucree,Base,azucar,15.84,g,5.05
MasaQuebrada,Sucree,Base,mantequilla,21.78,g,5.05
MasaQuebrada,Sucree,Base,huevo,0.2145,unidad,5.05
MasaQuebrada,SucreeCacao,Base,harina_0000,9.875,g,24.0
MasaQuebrada,SucreeCacao,Base,cacao_polvo,0.5417,g,24.0
MasaQuebrada,SucreeCacao,Base,azucar,3.333,g,24.0
MasaQuebrada,SucreeCacao,Base,mantequilla,4.583,g,24.0
MasaQuebrada,SucreeCacao,Base,huevo,0.04514,unidad,24.0
Galleta,QuesoParmesano,Base,mantequilla,2.924,g,37.0
Galleta,QuesoParmesano,Base,huevo,0.02692,unidad,37.0
Galleta,QuesoParmesano,Base,harina_0000,6.542,g,37.0
Galleta,QuesoParmesano,Base,harina_almendras,2.784,g,37.0
Galleta,QuesoParmesano,Base,sal,0.05568,g,37.0
Galleta,QuesoParmesano,Relleno,queso_parmesano,2.703,g,37.0
Galleta,ChipsChocolate,Masa,mantequilla,27.6,g,10.0
Galleta,ChipsChocolate,Masa,azucar_morena,24.2,g,10.0
Galleta,ChipsChocolate,Masa,azucar,10.9,g,10.0
Galleta,ChipsChocolate,Masa,huevo,0.2217,unidad,10.0
Galleta,ChipsChocolate,Masa,harina_0000,57.0,g,10.0
Galleta,ChipsChocolate,Masa,sal,0.47,g,10.0
Galleta,ChipsChocolate,Masa,maicena,0.4,g,10.0
Galleta,ChipsChocolate,Masa,bicarbonato,0.4,g,10.0
Galleta,ChipsChocolate,Masa,chocolate_negro_70,20.6,g,10.0
Galleta,RedVelvet,Insert,queso_crema,17.6,g,10.0
Galleta,RedVelvet,Insert,azucar,4.0,g,10.0
Galleta,RedVelvet,Insert,pasta_vainilla,0.0005,L,10.0
Galleta,RedVelvet,Masa,mantequilla,24.1,g,10.0
Galleta,RedVelvet,Masa,azucar,27.5,g,10.0
Galleta,RedVelvet,Masa,huevo,0.1933,unidad,10.0
Galleta,RedVelvet,Masa,harina_0000,51.6,g,10.0
Galleta,RedVelvet,Masa,cacao_polvo,1.2,g,10.0
Galleta,RedVelvet,Masa,sal,0.36,g,10.0
Galleta,RedVelvet,Masa,maicena,0.36,g,10.0
Galleta,RedVelvet,Masa,polvos_hornear,0.36,g,10.0
Galleta,RedVelvet,Masa,chocolate_blanco,18.0,g,10.0
Galleta,AvellanasChocolate,Masa,mantequilla,3.9,g,30.0
Galleta,AvellanasChocolate,Masa,azucar_morena,1.7667,g,30.0
Galleta,AvellanasChocolate,Masa,azucar,2.9667,g,30.0
Galleta,AvellanasChocolate,Masa,glucosa,1.2333,g,30.0
Galleta,AvellanasChocolate,Masa,pasta_avellanas,1.0,g,30.0
Galleta,AvellanasChocolate,Masa,huevo,0.0306,unidad,30.0
Galleta,AvellanasChocolate,Masa,harina_0000,7.1333,g,30.0
Galleta,AvellanasChocolate,Masa,polvos_hornear,0.1,g,30.0
Galleta,AvellanasChocolate,Masa,bicarbonato,0.0667,g,30.0
Galleta,AvellanasChocolate,Masa,sal,0.1,g,30.0
Galleta,AvellanasChocolate,Masa,avellanas_picadas,3.3,g,30.0
Galleta,AvellanasChocolate,Masa,chocolate_negro_56,3.3,g,30.0
Galleta,MiniCacao,Masa,mantequilla,4.2333,g,30.0
Galleta,MiniCacao,Masa,azucar_morena,3.9667,g,30.0
Galleta,MiniCacao,Masa,azucar,2.3667,g,30.0
Galleta,MiniCacao,Masa,huevo,0.0372,unidad,30.0
Galleta,MiniCacao,Masa,harina_0000,8.2,g,30.0
Galleta,MiniCacao,Masa,cacao_polvo,0.8,g,30.0
Galleta,MiniCacao,Masa,maicena,0.0667,g,30.0
Galleta,MiniCacao,Masa,bicarbonato,0.0667,g,30.0
Galleta,MiniCacao,Masa,sal,0.0667,g,30.0
Galleta,MiniCacao,Masa,chocolate_negro_56,4.7,g,30.0
Galleta,PistachoLimon,Masa,mantequilla,3.7,g,30.0
Galleta,PistachoLimon,Masa,azucar_morena,0.9667,g,30.0
Galleta,PistachoLimon,Masa,azucar,3.4333,g,30.0
Galleta,PistachoLimon,Masa,glucosa,1.1333,g,30.0
Galleta,PistachoLimon,Masa,pasta_pistachos,1.1333,g,30.0
Galleta,PistachoLimon,Masa,zeste_limon,0.1,g,30.0
Galleta,PistachoLimon,Masa,huevo,0.0306,unidad,30.0
Galleta,PistachoLimon,Masa,harina_0000,7.4667,g,30.0
Galleta,PistachoLimon,Masa,matcha_polvo,0.1333,g,30.0
Galleta,PistachoLimon,Masa,polvos_hornear,0.24,g,30.0
Galleta,PistachoLimon,Masa,sal,0.0467,g,30.0
Galleta,PistachoLimon,Masa,chocolate_leche_40,4.3,g,30.0
Galleta,PistachoLimon,Masa,pistacho_picado,2.1667,g,30.0
Galleta,MantequillaAlmendras,Masa,mantequilla,4.2,g,30.0
Galleta,MantequillaAlmendras,Masa,azucar,5.1667,g,30.0
Galleta,MantequillaAlmendras,Masa,glucosa,1.2667,g,30.0
Galleta,MantequillaAlmendras,Masa,pasta_almendras,2.5,g,30.0
Galleta,MantequillaAlmendras,Masa,huevo,0.0333,unidad,30.0
Galleta,MantequillaAlmendras,Masa,harina_0000,7.7,g,30.0
Galleta,MantequillaAlmendras,Masa,almendras_laminadas,3.5667,g,30.0
Galleta,MantequillaAlmendras,Masa,sal,0.1,g,30.0
Galleta,MantequillaAlmendras,Masa,polvos_hornear,0.1133,g,30.0
Galleta,MantequillaAlmendras,Masa,bicarbonato,0.0667,g,30.0
Galleta,StreuselFrambuesa,Streusel,harina_0000,3.75,g,16.0
Galleta,StreuselFrambuesa,Streusel,harina_almendras,3.75,g,16.0
Galleta,StreuselFrambuesa,Streusel,mantequilla,3.75,g,16.0
Galleta,StreuselFrambuesa,Streusel,azucar,3.75,g,16.0
Galleta,StreuselFrambuesa,Streusel,sal,0.0625,g,16.0
Galleta,StreuselFrambuesa,MasaSablee,mantequilla,4.5,g,16.0
Galleta,StreuselFrambuesa,MasaSablee,azucar_flor,4.0625,g,16.0
Galleta,StreuselFrambuesa,MasaSablee,huevo,0.0573,unidad,16.0
Galleta,StreuselFrambuesa,MasaSablee,harina_0000,13.75,g,16.0
Galleta,StreuselFrambuesa,MasaSablee,harina_almendras,4.875,g,16.0
Galleta,StreuselFrambuesa,MasaSablee,pasta_vainilla,0.0006,L,16.0
Galleta,StreuselFrambuesa,MasaSablee,sal,0.0312,g,16.0
Galleta,StreuselFrambuesa,Mermelada,pure_frambuesas,7.0963,g,16.0
Galleta,StreuselFrambuesa,Mermelada,azucar,7.0963,g,16.0
Galleta,StreuselFrambuesa,Mermelada,pectina_nh,0.138,g,16.0
Galleta,StreuselFrambuesa,Mermelada,acido_citrico,0.0444,g,16.0
Galleta,BarritaNuez,Relleno,leche_condensada,19.5,g,10.0
Galleta,BarritaNuez,Relleno,mantequilla,3.0,g,10.0
Galleta,BarritaNuez,Relleno,nueces,12.5,g,10.0
Galleta,BarritaNuez,Relleno,sal,0.2,g,10.0
Galleta,BarritaNuez,Streusel,harina_0000,12.0,g,10.0
Galleta,BarritaNuez,Streusel,harina_almendras,6.0,g,10.0
Galleta,BarritaNuez,Streusel,nueces,6.0,g,10.0
Galleta,BarritaNuez,Streusel,mantequilla,12.0,g,10.0
Galleta,BarritaNuez,Streusel,azucar,12.0,g,10.0
Galleta,MantecadoTradicional,Masa,harina_0000,4.4667,g,30.0
Galleta,MantecadoTradicional,Masa,harina_almendras,0.9,g,30.0
Galleta,MantecadoTradicional,Masa,canela_polvo,0.0333,g,30.0
Galleta,MantecadoTradicional,Masa,azucar_flor,2.7,g,30.0
Galleta,MantecadoTradicional,Masa,manteca_vegetal,3.5667,g,30.0
Galleta,MantecadoMani,Masa,harina_0000,2.7667,g,30.0
Galleta,MantecadoMani,Masa,mani,3.7333,g,30.0
Galleta,MantecadoMani,Masa,sal,0.0167,g,30.0
Galleta,MantecadoMani,Masa,azucar_flor,2.8,g,30.0
Galleta,MantecadoMani,Masa,manteca_vegetal,2.3667,g,30.0
Galleta,MantecadoNuez,Masa,harina_0000,3.8333,g,30.0
Galleta,MantecadoNuez,Masa,nueces,2.7,g,30.0
Galleta,MantecadoNuez,Masa,canela_polvo,0.0333,g,30.0
Galleta,MantecadoNuez,Masa,azucar_flor,2.7,g,30.0
Galleta,MantecadoNuez,Masa,manteca_vegetal,2.4,g,30.0
Galleta,MantecadoSesamo,Masa,harina_0000,3.2333,g,30.0
Galleta,MantecadoSesamo,Masa,tahini,2.4667,g,30.0
Galleta,MantecadoSesamo,Masa,canela_polvo,0.0333,g,30.0
Galleta,MantecadoSesamo,Masa,azucar_flor,2.7,g,30.0
Galleta,MantecadoSesamo,Masa,manteca_vegetal,2.3667,g,30.0
Galleta,MantecadoSesamo,Masa,sesamo_negro,0.9,g,30.0
Galleta,MantecadoPistacho,Masa,harina_0000,2.7667,g,30.0
Galleta,MantecadoPistacho,Masa,pistacho_picado,3.7333,g,30.0
Galleta,MantecadoPistacho,Masa,azucar_flor,2.8,g,30.0
Galleta,MantecadoPistacho,Masa,sal,0.0167,g,30.0
Galleta,MantecadoPistacho,Masa,manteca_vegetal,2.3667,g,30.0
Galleta,MantecadoChocolateNaranja,Masa,harina_0000,3.1667,g,30.0
Galleta,MantecadoChocolateNaranja,Masa,harina_almendras,0.9,g,30.0
Galleta,MantecadoChocolateNaranja,Masa,nibs_cacao,2.6667,g,30.0
Galleta,MantecadoChocolateNaranja,Masa,azucar_flor,2.6667,g,30.0
Galleta,MantecadoChocolateNaranja,Masa,zeste_naranja,0.0667,g,30.0
Galleta,MantecadoChocolateNaranja,Masa,manteca_vegetal,2.1667,g,30.0
Galleta,Florentina,Masa,crema_leche_35,6.6667,g,15.0
Galleta,Florentina,Masa,azucar,7.3333,g,15.0
Galleta,Florentina,Masa,miel,4.6667,g,15.0
Galleta,Florentina,Masa,vaina_vainilla,0.0667,unidad,15.0
Galleta,Florentina,Masa,flor_de_sal,0.0667,g,15.0
Galleta,Florentina,Masa,almendras_laminadas,13.3333,g,15.0
Medialuna,Tradicional,Masa,vainilla_tahiti,5.816901408450704,g,71.0
Brownie,,Masa,mantequilla,33.3333,g,9.0
Brownie,,Masa,chocolate_negro_56,64.5556,g,9.0
Brownie,,Masa,azucar_flor,32.1111,g,9.0
Brownie,,Masa,azucar,33.3333,g,9.0
Brownie,,Masa,glucosa,7.5,g,9.0
Brownie,,Masa,huevo,0.8130,unidad,9.0
Brownie,,Masa,harina_0000,43.7778,g,9.0
Brownie,,Masa,cacao_polvo,6.2222,g,9.0
Brownie,,Masa,sal,0.7556,g,9.0
Brownie,,Masa,nueces,42.5556,g,9.0
Croissant,Plano,Masa,harina_0000,50.0,g,12.0
Croissant,Plano,Masa,azucar,5.0,g,12.0
Croissant,Plano,Masa,sal,1.0,g,12.0
Croissant,Plano,Masa,levadura_fresca,1.6667,g,12.0
Croissant,Plano,Masa,agua,30.0,mL,12.0
Croissant,Plano,Laminado,mantequilla,20.8333,g,12.0
Croissant,Plano,Barnizado,huevo,0.0833,unidad,12.0
Croissant,Plano,Barnizado,agua,1.25,mL,12.0
CarrotCake,,Bizcocho,zanahoria,175,g,1.0
CarrotCake,,Bizcocho,aceite_maravilla,100,mL,1.0
CarrotCake,,Bizcocho,esencia_vainilla,5,mL,1.0
CarrotCake,,Bizcocho,huevo,4,unidad,1.0
CarrotCake,,Bizcocho,azucar,150,g,1.0
CarrotCake,,Bizcocho,harina_0000,150,g,1.0
CarrotCake,,Bizcocho,polvos_hornear,10,g,1.0
CarrotCake,,Bizcocho,canela_polvo,3,g,1.0
CarrotCake,,Bizcocho,nuez_moscada,1.5,g,1.0
CarrotCake,,Bizcocho,clavo_olor,0.5,g,1.0
CarrotCake,,Frosting,crema_leche_35,500,g,1.0
CarrotCake,,Frosting,azucar_flor,80,g,1.0
CarrotCake,,Frosting,queso_crema,175,g,1.0
CarrotCake,,Frosting,chocolate_blanco,100,g,1.0
